hora,temperatura,chuva,umidade,sol,vento,aluguéis,estação_outono,estação_primavera,estação_verão,dia_quarta,dia_quinta,dia_segunda,dia_sexta,dia_sábado,dia_terça,feriado_sim,visibilidade_Umidade de 0% a 30%,visibilidade_Umidade de 30% a 60%,visibilidade_Umidade de 60% a 95%
0.13,0.40299999999999997,0,0.596,0.149,0.145,677,0,0,1,0,0,0,0,0,0,0,0,0,0
0.21,0.21,0,0.6859999999999999,0.0,0.385,459,0,1,0,0,0,1,0,0,0,0,0,1,0
0.22,0.177,0,0.807,0.0,0.205,407,0,0,0,0,1,0,0,0,0,0,0,0,1
0.18,0.133,0,0.4,0.016,0.445,401,0,0,0,1,0,0,0,0,0,0,0,0,0
0.22,0.149,0,0.581,0.0,0.181,304,0,0,0,0,1,0,0,0,0,0,0,0,0
0.17,0.40700000000000003,0,0.596,0.086,0.493,968,0,0,1,1,0,0,0,0,0,1,0,0,1
0.19,0.19899999999999998,0,0.611,0.0,0.409,412,0,0,0,0,0,0,0,0,1,0,0,0,0
0.08,0.33799999999999997,0,0.633,0.057999999999999996,0.229,2283,0,0,1,0,1,0,0,0,0,0,0,0,0
0.18,0.183,0,0.528,0.0,0.133,1587,1,0,0,0,1,0,0,0,0,0,0,0,1
0.13,0.335,0,0.445,0.251,0.433,1423,0,1,0,0,0,0,0,1,0,0,0,0,1
0.23,0.27,0,0.852,0.0,0.181,827,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0,0.225,0,0.498,0.0,0.421,303,0,1,0,0,0,0,0,0,1,0,0,0,0
0.03,0.207,0,0.46799999999999997,0.0,0.217,177,1,0,0,1,0,0,0,0,0,0,0,1,0
0.09,0.23600000000000002,0,0.618,0.08,0.181,6,1,0,0,0,0,0,0,0,0,0,0,1,0
0.18,0.331,1,0.905,0.009,0.16899999999999998,30,0,0,1,0,0,0,0,0,0,0,0,1,0
0.1,0.38799999999999996,0,0.6409999999999999,0.15,0.361,705,0,0,1,1,0,0,0,0,0,0,0,0,1
0.06,0.301,1,0.897,0.0,0.229,36,1,0,0,0,0,0,1,0,0,0,0,1,0
0.19,0.401,0,0.618,0.045,0.409,2123,0,0,1,0,0,1,0,0,0,0,0,0,0
0.14,0.375,0,0.452,0.321,0.337,1139,0,1,0,0,0,1,0,0,0,0,0,0,1
0.02,0.32,0,0.754,0.0,0.157,768,0,0,1,0,0,0,0,0,0,0,0,1,0
0.13,0.295,1,0.882,0.072,0.145,519,0,1,0,0,0,0,1,0,0,0,0,0,1
0.23,0.319,0,0.762,0.0,0.181,1296,0,0,1,0,0,0,1,0,0,0,0,1,0
0.16,0.21100000000000002,0,0.852,0.007000000000000001,0.325,16,0,0,0,1,0,0,0,0,0,0,1,0,0
0.09,0.354,0,0.905,0.040999999999999995,0.097,639,0,0,1,1,0,0,0,0,0,0,1,0,0
0.09,0.40299999999999997,0,0.5579999999999999,0.149,0.229,792,0,0,1,0,1,0,0,0,0,0,0,0,1
0.1,0.26899999999999996,0,0.8140000000000001,0.027000000000000003,0.145,201,1,0,0,0,0,0,1,0,0,0,1,0,0
0.12,0.187,0,0.528,0.24900000000000003,0.589,326,0,1,0,1,0,0,0,0,0,1,0,1,0
0.07,0.198,0,0.6709999999999999,0.0,0.253,606,0,1,0,0,0,0,0,0,1,0,0,0,0
0.03,0.349,0,0.83,0.0,0.265,392,0,0,1,0,0,0,1,0,0,0,0,1,0
0.13,0.318,0,0.392,0.225,0.181,1310,1,0,0,0,0,0,1,0,0,0,0,0,0
0.14,0.23199999999999998,0,0.445,0.099,0.181,626,0,0,0,0,0,0,0,0,0,0,0,0,1
0.03,0.17600000000000002,0,0.807,0.0,0.121,135,0,0,0,0,0,0,0,1,0,0,1,0,0
0.14,0.308,0,0.475,0.16599999999999998,0.181,1137,1,0,0,0,1,0,0,0,0,0,0,0,0
0.16,0.314,0,0.588,0.24100000000000002,0.493,12,0,1,0,0,0,0,1,0,0,0,0,1,0
0.14,0.237,0,0.897,0.034999999999999996,0.205,60,0,1,0,0,0,0,1,0,0,0,1,0,0
0.03,0.368,0,0.754,0.0,0.049,362,0,0,1,0,1,0,0,0,0,0,0,0,1
0.04,0.369,0,0.6859999999999999,0.0,0.049,223,0,0,1,0,0,0,0,0,1,0,0,0,0
0.01,0.203,0,0.573,0.0,0.10900000000000001,374,0,1,0,0,0,0,0,1,0,0,0,0,0
0.09,0.209,0,0.762,0.065,0.265,294,0,1,0,0,0,0,0,1,0,0,1,0,0
0.14,0.37799999999999995,0,0.573,0.268,0.397,1276,0,0,1,0,0,0,0,1,0,0,0,0,1
0.22,0.157,0,0.49,0.0,0.073,245,0,0,0,0,1,0,0,0,0,0,0,0,1
0.12,0.32,0,0.46,0.294,0.577,1031,0,1,0,0,1,0,0,0,0,0,0,0,1
0.2,0.363,0,0.55,0.0,0.277,1446,1,0,0,0,0,0,0,0,1,0,0,0,0
0.09,0.135,0,0.535,0.018,0.361,201,0,0,0,0,0,0,0,1,0,0,0,0,1
0.03,0.373,0,0.649,0.0,0.217,400,0,0,1,0,0,0,0,1,0,0,0,0,0
0.23,0.217,0,0.747,0.0,0.157,700,1,0,0,0,0,0,1,0,0,0,0,1,0
0.23,0.166,0,0.483,0.0,0.097,238,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2,0.20800000000000002,0,0.618,0.0,0.181,332,0,0,0,0,0,1,0,0,0,0,1,0,0
0.1,0.233,0,0.581,0.1,0.121,661,1,0,0,0,0,1,0,0,0,0,0,1,0
0.23,0.363,0,0.777,0.0,0.037,1312,0,0,1,1,0,0,0,0,0,0,0,0,1
0.23,0.349,0,0.633,0.0,0.145,853,0,1,0,0,0,0,0,0,1,0,0,1,0
0.07,0.242,0,0.8220000000000001,0.011,0.157,11,0,1,0,0,0,0,0,0,0,0,1,0,0
0.1,0.35700000000000004,0,0.581,0.21400000000000002,0.133,828,0,0,1,0,0,1,0,0,0,0,1,0,0
0.22,0.295,0,0.392,0.0,0.145,1299,0,1,0,0,0,0,0,1,0,0,0,0,0
0.01,0.377,0,0.777,0.0,0.181,888,0,0,1,0,0,0,0,1,0,0,0,1,0
0.04,0.307,0,0.799,0.0,0.265,266,0,0,1,0,0,1,0,0,0,0,0,1,0
0.13,0.321,0,0.528,0.32599999999999996,0.373,9,0,1,0,0,0,0,1,0,0,0,0,1,0
0.14,0.381,0,0.498,0.23700000000000002,0.193,1382,1,0,0,0,0,0,0,0,1,0,0,0,0
0.13,0.293,0,0.89,0.078,0.133,220,0,1,0,0,0,0,0,0,1,0,0,0,1
0.19,0.287,0,0.513,0.0,0.205,1872,1,0,0,0,0,1,0,0,0,0,0,1,0
0.07,0.304,0,0.905,0.004,0.133,376,1,0,0,0,0,0,0,1,0,0,1,0,0
0.2,0.34,1,0.912,0.004,0.037,72,0,0,1,1,0,0,0,0,0,0,0,0,1
0.07,0.33,0,0.55,0.023,0.229,1280,0,0,1,0,0,0,1,0,0,0,0,0,0
0.15,0.228,0,0.36200000000000004,0.195,0.34900000000000003,479,0,0,0,0,0,0,0,1,0,0,0,0,1
0.13,0.37,0,0.573,0.185,0.301,1060,1,0,0,0,0,0,0,1,0,0,0,0,1
0.06,0.301,0,0.6940000000000001,0.005,0.181,351,0,0,1,0,0,0,0,0,1,0,0,1,0
0.03,0.377,0,0.7090000000000001,0.0,0.061,480,0,0,1,1,0,0,0,0,0,1,0,0,1
0.03,0.161,0,0.6859999999999999,0.0,0.409,61,0,0,0,0,0,0,0,1,0,0,0,0,1
0.18,0.149,0,0.42200000000000004,0.0,0.28900000000000003,476,0,0,0,1,0,0,0,0,0,0,0,0,0
0.06,0.31,0,0.754,0.0,0.061,5,1,0,0,1,0,0,0,0,0,0,0,0,1
0.02,0.215,0,0.679,0.0,0.217,201,1,0,0,0,0,0,0,0,1,0,0,0,0
0.21,0.23600000000000002,0,0.603,0.0,0.193,426,0,1,0,0,0,0,0,0,1,0,0,0,0
0.11,0.11900000000000001,0,0.43,0.09,0.157,131,0,0,0,0,0,0,0,1,0,0,0,0,1
0.1,0.384,0,0.6709999999999999,0.11100000000000002,0.16899999999999998,644,0,0,1,0,0,0,0,0,0,0,0,0,0
0.12,0.37200000000000005,0,0.6940000000000001,0.135,0.253,1026,0,0,1,0,0,0,1,0,0,0,0,0,1
0.15,0.267,0,0.7090000000000001,0.068,0.277,681,1,0,0,0,0,0,0,0,1,0,1,0,0
0.03,0.332,1,0.905,0.0,0.16899999999999998,232,0,0,1,0,0,0,1,0,0,0,1,0,0
0.12,0.147,0,0.33899999999999997,0.10800000000000001,0.277,239,0,0,0,1,0,0,0,0,0,0,0,0,1
0.08,0.147,0,0.603,0.001,0.10900000000000001,235,0,0,0,0,0,0,0,0,1,0,0,0,1
0.05,0.113,0,0.528,0.0,0.385,50,0,0,0,0,0,0,0,0,1,0,0,0,0
0.12,0.359,0,0.513,0.324,0.24100000000000002,1149,0,1,0,0,0,1,0,0,0,0,0,0,0
0.19,0.32299999999999995,0,0.588,0.001,0.373,1347,1,0,0,0,0,0,0,0,0,1,0,0,0
0.2,0.275,0,0.5660000000000001,0.0,0.145,1279,1,0,0,0,0,0,0,1,0,0,0,0,1
0.2,0.127,0,0.498,0.0,0.145,268,0,0,0,0,0,0,0,0,1,0,0,0,0
0.18,0.364,0,0.483,0.1,0.361,3236,0,0,1,0,0,0,0,0,0,0,0,0,1
0.21,0.348,0,0.6409999999999999,0.0,0.217,1265,1,0,0,0,0,0,1,0,0,0,0,0,0
0.2,0.369,0,0.535,0.001,0.253,2119,0,0,1,0,1,0,0,0,0,0,0,0,0
0.09,0.381,0,0.618,0.16799999999999998,0.181,686,0,0,1,0,1,0,0,0,0,0,0,0,1
0.22,0.183,0,0.6559999999999999,0.0,0.181,298,0,0,0,0,1,0,0,0,0,0,0,1,0
0.04,0.34700000000000003,0,0.912,0.0,0.145,86,0,0,1,1,0,0,0,0,0,0,1,0,0
0.16,0.446,0,0.475,0.242,0.325,566,0,0,1,0,0,1,0,0,0,0,0,0,1
0.14,0.305,0,0.505,0.24300000000000002,0.28900000000000003,716,0,1,0,0,0,0,0,0,1,0,0,0,1
0.23,0.342,0,0.792,0.0,0.097,1338,0,0,1,0,0,0,1,0,0,0,0,0,1
0.13,0.41,0,0.535,0.22400000000000003,0.193,711,0,0,1,0,0,0,0,1,0,0,0,0,0
0.2,0.327,1,0.912,0.0,0.061,160,1,0,0,0,0,0,1,0,0,0,0,0,0
0.16,0.171,0,0.415,0.05600000000000001,0.397,224,0,0,0,0,0,0,0,0,1,0,0,0,0
0.14,0.195,0,0.4,0.11399999999999999,0.265,384,0,0,0,0,0,0,1,0,0,0,0,0,1
0.23,0.287,0,0.385,0.0,0.445,864,0,1,0,0,0,0,1,0,0,0,0,0,0
0.06,0.271,0,0.731,0.0,0.157,10,1,0,0,0,0,0,0,0,1,0,0,0,1
0.01,0.19399999999999998,0,0.8220000000000001,0.0,0.265,261,0,1,0,0,1,0,0,0,0,0,0,1,0
0.21,0.263,1,0.83,0.0,0.301,37,0,1,0,0,0,0,0,0,0,0,0,1,0
0.18,0.311,0,0.535,0.056999999999999995,0.313,1785,0,1,0,0,1,0,0,0,0,0,0,1,0
0.13,0.254,0,0.505,0.10700000000000001,0.181,888,0,1,0,0,0,0,0,0,0,0,0,1,0
0.2,0.321,0,0.7240000000000001,0.0,0.181,1667,0,1,0,0,0,0,1,0,0,1,1,0,0
0.02,0.37,0,0.611,0.0,0.16899999999999998,375,0,0,1,0,0,1,0,0,0,0,0,0,0
0.07,0.36700000000000005,0,0.784,0.027000000000000003,0.145,1121,0,0,1,0,0,0,1,0,0,0,0,1,0
0.15,0.221,0,0.581,0.022,0.265,555,1,0,0,1,0,0,0,0,0,0,0,0,0
0.08,0.107,0,0.535,0.0,0.421,602,0,0,0,1,0,0,0,0,0,0,0,0,0
0.18,0.409,0,0.498,0.125,0.265,2431,0,0,1,0,0,0,1,0,0,0,0,0,0
0.17,0.177,0,0.43700000000000006,0.028000000000000004,0.361,286,0,0,0,1,0,0,0,0,0,0,0,0,0
0.16,0.355,0,0.40700000000000003,0.207,0.433,1212,0,1,0,0,0,0,1,0,0,0,1,0,0
0.06,0.243,0,0.611,0.0,0.229,526,0,1,0,0,1,0,0,0,0,0,0,0,1
0.05,0.15,0,0.513,0.0,0.133,38,0,0,0,0,0,0,1,0,0,1,0,0,0
0.18,0.391,0,0.596,0.10500000000000001,0.28900000000000003,1639,0,0,1,0,0,0,0,1,0,0,0,0,1
0.06,0.307,0,0.8140000000000001,0.001,0.10900000000000001,520,0,1,0,1,0,0,0,0,0,0,1,0,0
0.02,0.287,0,0.6709999999999999,0.0,0.181,294,0,1,0,0,0,0,0,0,0,0,0,0,1
0.04,0.35200000000000004,1,0.7090000000000001,0.0,0.853,56,0,0,1,0,0,0,0,0,1,0,0,1,0
0.05,0.306,0,0.8140000000000001,0.0,0.097,249,0,1,0,1,0,0,0,0,0,0,1,0,0
0.04,0.157,0,0.777,0.0,0.16899999999999998,54,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1,0.247,0,0.505,0.149,0.24100000000000002,785,1,0,0,0,0,1,0,0,0,0,0,0,1
0.22,0.266,0,0.905,0.0,0.34900000000000003,21,1,0,0,0,0,0,0,1,0,0,1,0,0
0.12,0.17300000000000001,0,0.43,0.118,0.325,230,0,0,0,0,0,1,0,0,0,1,0,0,1
0.01,0.319,1,0.912,0.0,0.061,54,0,0,1,0,0,0,0,0,0,0,1,0,0
0.14,0.249,0,0.46799999999999997,0.093,0.133,512,0,1,0,0,0,0,0,0,1,0,0,0,1
0.18,0.114,0,0.505,0.002,0.301,362,0,0,0,0,1,0,0,0,0,0,0,0,0
0.08,0.248,0,0.618,0.022,0.097,2124,1,0,0,0,0,1,0,0,0,0,0,0,1
0.11,0.32899999999999996,0,0.664,0.10300000000000001,0.313,1100,0,0,1,0,0,1,0,0,0,0,0,0,1
0.04,0.305,0,0.769,0.0,0.073,11,1,0,0,0,0,0,0,0,1,0,0,0,1
0.23,0.122,0,0.513,0.0,0.073,186,0,0,0,1,0,0,0,0,0,0,0,0,0
0.16,0.361,0,0.588,0.124,0.301,1646,0,0,1,0,1,0,0,0,0,0,0,0,0
0.07,0.266,0,0.799,0.01,0.145,1164,0,1,0,0,0,1,0,0,0,0,1,0,0
0.17,0.262,0,0.633,0.06,0.373,50,0,1,0,0,0,0,0,0,0,0,0,0,1
0.07,0.207,0,0.807,0.0,0.133,820,1,0,0,0,0,0,0,0,1,0,1,0,0
0.18,0.26,0,0.792,0.007000000000000001,0.205,443,0,1,0,0,0,0,0,0,1,0,0,0,1
0.01,0.259,0,0.618,0.0,0.181,42,0,1,0,1,0,0,0,0,0,0,0,0,0
0.12,0.293,0,0.46,0.21400000000000002,0.24100000000000002,7,1,0,0,0,0,0,0,0,0,0,0,1,0
0.13,0.42100000000000004,0,0.46799999999999997,0.25,0.313,703,0,0,1,0,0,0,0,0,1,0,0,0,1
0.12,0.198,0,0.309,0.175,0.145,277,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.28,0,0.633,0.0,0.193,5,1,0,0,0,0,0,1,0,0,0,0,0,0
0.12,0.271,0,0.415,0.258,0.481,978,1,0,0,0,0,0,0,1,0,0,0,0,0
0.23,0.301,0,0.5660000000000001,0.0,0.193,1231,1,0,0,0,1,0,0,0,0,0,0,0,0
0.06,0.17800000000000002,0,0.513,0.0,0.097,65,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05,0.237,0,0.8140000000000001,0.0,0.10900000000000001,171,1,0,0,0,0,0,1,0,0,0,1,0,0
0.03,0.106,0,0.445,0.0,0.409,49,0,0,0,0,0,0,0,1,0,0,0,0,0
0.13,0.40299999999999997,0,0.5660000000000001,0.309,0.325,739,0,0,1,0,0,1,0,0,0,0,0,1,0
0.02,0.182,0,0.43,0.0,0.193,86,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1,0.209,0,0.392,0.049,0.097,603,1,0,0,0,1,0,0,0,0,0,0,0,1
0.18,0.163,0,0.43,0.0,0.16899999999999998,766,0,0,0,0,0,0,0,1,0,0,0,0,0
0.05,0.26,0,0.7090000000000001,0.0,0.08499999999999999,116,1,0,0,0,0,0,0,0,1,1,0,0,0
0.09,0.263,0,0.5579999999999999,0.075,0.157,1112,1,0,0,0,0,1,0,0,0,0,0,0,1
0.08,0.159,0,0.807,0.0,0.229,282,0,0,0,1,0,0,0,0,0,0,0,1,0
0.17,0.41700000000000004,0,0.46,0.172,0.337,1278,0,0,1,1,0,0,0,0,0,0,0,0,0
0.17,0.29100000000000004,0,0.34700000000000003,0.173,0.517,6,0,1,0,0,0,0,0,0,0,0,0,0,0
0.19,0.217,0,0.5579999999999999,0.0,0.10900000000000001,1120,1,0,0,1,0,0,0,0,0,0,0,0,0
0.12,0.35,0,0.603,0.319,0.385,1113,0,0,1,0,0,0,1,0,0,0,0,1,0
0.17,0.419,0,0.513,0.11000000000000001,0.121,1236,0,0,1,0,0,1,0,0,0,0,0,0,0
0.21,0.391,0,0.535,0.0,0.181,1651,0,0,1,0,0,0,0,0,0,0,0,0,0
0.18,0.311,0,0.581,0.057999999999999996,0.313,2108,0,1,0,1,0,0,0,0,0,0,0,0,0
0.23,0.313,0,0.649,0.0,0.229,5,1,0,0,0,0,0,0,0,1,0,0,0,0
0.16,0.17600000000000002,0,0.36200000000000004,0.05600000000000001,0.433,414,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1,0.213,0,0.852,0.024,0.28900000000000003,208,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2,0.287,0,0.664,0.0,0.34900000000000003,1092,0,1,0,0,1,0,0,0,0,0,0,1,0
0.01,0.368,0,0.807,0.0,0.34900000000000003,772,0,0,1,0,0,0,0,0,1,0,0,1,0
0.12,0.35100000000000003,1,0.89,0.039,0.361,864,0,0,1,0,0,0,0,1,0,0,1,0,0
0.11,0.21899999999999997,0,0.505,0.13799999999999998,0.24100000000000002,651,1,0,0,0,0,0,1,0,0,0,0,1,0
0.16,0.265,0,0.6709999999999999,0.052000000000000005,0.253,395,1,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.142,0,0.6409999999999999,0.0,0.181,80,0,0,0,0,0,0,0,0,1,0,0,0,0
0.17,0.375,0,0.716,0.071,0.373,1928,0,0,1,1,0,0,0,0,0,0,0,0,1
0.06,0.311,0,0.912,0.0,0.205,427,0,0,1,1,0,0,0,0,0,0,1,0,0
0.23,0.317,0,0.762,0.0,0.397,1262,0,0,1,1,0,0,0,0,0,1,0,1,0
0.23,0.226,0,0.633,0.0,0.24100000000000002,812,1,0,0,1,0,0,0,0,0,0,0,0,1
0.08,0.185,0,0.6559999999999999,0.0,0.073,201,0,0,0,0,0,0,0,1,0,0,0,1,0
0.07,0.14,0,0.611,0.0,0.121,397,0,0,0,0,0,0,0,1,0,0,0,0,1
0.09,0.10300000000000001,0,0.5579999999999999,0.043,0.181,242,0,0,0,0,0,1,0,0,0,0,0,0,1
0.05,0.28300000000000003,0,0.664,0.0,0.217,207,0,1,0,0,0,0,0,0,0,0,0,0,0
0.15,0.316,0,0.618,0.051000000000000004,0.325,972,0,1,0,0,0,0,0,0,0,0,0,0,1
0.01,0.365,0,0.633,0.0,0.121,782,0,0,1,0,0,0,0,0,0,0,0,0,0
0.05,0.324,0,0.5429999999999999,0.0,0.061,354,0,0,1,0,0,0,0,1,0,0,0,0,0
0.03,0.231,0,0.6859999999999999,0.0,0.097,7,1,0,0,0,0,0,0,0,0,0,0,1,0
0.07,0.27399999999999997,0,0.747,0.047,0.217,1250,0,1,0,1,0,0,0,0,0,0,0,0,0
0.11,0.221,0,0.618,0.20800000000000002,0.301,506,0,1,0,1,0,0,0,0,0,0,0,1,0
0.21,0.11800000000000001,0,0.49,0.0,0.493,183,0,0,0,1,0,0,0,0,0,0,0,0,1
0.21,0.385,0,0.701,0.0,0.28900000000000003,1837,0,0,1,0,0,0,0,0,0,0,0,0,1
0.08,0.34700000000000003,0,0.905,0.019,0.145,1345,0,0,1,0,1,0,0,0,0,0,0,1,0
0.08,0.327,0,0.618,0.121,0.157,2336,0,0,1,0,0,0,0,0,0,0,0,1,0
0.16,0.226,0,0.5429999999999999,0.022,0.337,626,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06,0.177,0,0.762,0.0,0.073,228,0,1,0,0,0,0,0,0,0,0,0,0,1
0.18,0.265,0,0.535,0.001,0.337,2206,1,0,0,1,0,0,0,0,0,0,0,0,1
0.16,0.29100000000000004,0,0.7090000000000001,0.08299999999999999,0.181,1307,1,0,0,0,0,0,0,0,1,0,0,1,0
0.1,0.175,0,0.43700000000000006,0.032,0.08499999999999999,210,0,0,0,0,0,0,0,0,0,0,0,1,0
0.03,0.24100000000000002,0,0.581,0.0,0.205,217,0,1,0,0,1,0,0,0,0,0,0,1,0
0.21,0.331,0,0.7240000000000001,0.0,0.325,1942,0,0,1,1,0,0,0,0,0,1,0,1,0
0.07,0.138,0,0.42200000000000004,0.0,0.217,48,0,0,0,0,0,0,0,1,0,1,0,0,0
0.0,0.21899999999999997,0,0.664,0.0,0.121,464,1,0,0,0,0,0,0,0,1,0,0,0,0
0.01,0.32299999999999995,0,0.777,0.0,0.265,934,0,0,1,0,0,0,0,0,0,0,0,1,0
0.21,0.379,0,0.747,0.0,0.457,1477,0,0,1,0,0,0,0,0,1,0,0,0,1
0.2,0.33899999999999997,0,0.505,0.001,0.157,2520,0,0,1,0,0,0,1,0,0,0,0,0,0
0.14,0.259,0,0.475,0.118,0.46900000000000003,851,1,0,0,0,0,1,0,0,0,0,0,0,0
0.04,0.192,0,0.8370000000000001,0.0,0.28900000000000003,82,0,1,0,0,1,0,0,0,0,0,0,1,0
0.12,0.34299999999999997,0,0.5660000000000001,0.229,0.24100000000000002,1216,0,0,1,0,1,0,0,0,0,0,0,0,0
0.17,0.33,1,0.852,0.020999999999999998,0.28900000000000003,334,1,0,0,0,0,0,0,0,0,0,1,0,0
0.12,0.353,0,0.6559999999999999,0.101,0.133,1293,1,0,0,0,0,0,0,1,0,0,0,0,0
0.02,0.22399999999999998,0,0.6940000000000001,0.0,0.08499999999999999,384,1,0,0,0,0,0,0,0,0,0,0,0,1
0.22,0.389,0,0.588,0.0,0.121,1557,0,0,1,0,0,1,0,0,0,0,0,0,0
0.1,0.335,1,0.897,0.005,0.229,93,0,1,0,1,0,0,0,0,0,0,1,0,0
0.07,0.281,0,0.6409999999999999,0.002,0.277,219,1,0,0,0,0,1,0,0,0,1,0,0,0
0.01,0.16899999999999998,0,0.415,0.0,0.157,171,0,0,0,1,0,0,0,0,0,0,0,0,0
0.15,0.27,0,0.475,0.10900000000000001,0.46900000000000003,1069,1,0,0,0,0,0,0,1,0,0,0,0,0
0.23,0.349,0,0.8370000000000001,0.0,0.08499999999999999,387,0,0,1,0,0,0,0,0,0,0,0,1,0
0.12,0.34600000000000003,0,0.36200000000000004,0.32799999999999996,0.373,1096,0,1,0,0,0,0,1,0,0,0,0,0,1
0.11,0.287,0,0.633,0.144,0.46900000000000003,603,0,1,0,1,0,0,0,0,0,0,0,1,0
0.05,0.114,0,0.535,0.0,0.145,65,0,0,0,0,0,1,0,0,0,0,0,0,1
0.2,0.299,0,0.581,0.001,0.253,1985,0,1,0,1,0,0,0,0,0,0,0,0,0
0.16,0.11900000000000001,0,0.415,0.066,0.337,165,0,0,0,0,1,0,0,0,0,0,0,0,0
0.08,0.385,0,0.6409999999999999,0.065,0.24100000000000002,577,0,0,1,0,0,0,0,0,0,0,0,0,1
0.18,0.32,0,0.679,0.016,0.16899999999999998,2027,1,0,0,0,0,0,0,0,0,0,0,0,0
0.19,0.282,0,0.535,0.0,0.181,1396,1,0,0,0,0,0,0,1,0,0,0,1,0
0.16,0.348,0,0.8220000000000001,0.099,0.16899999999999998,901,0,0,1,0,0,1,0,0,0,0,0,1,0
0.15,0.303,0,0.475,0.121,0.145,1113,1,0,0,0,0,0,1,0,0,0,0,1,0
0.04,0.171,0,0.513,0.0,0.10900000000000001,59,0,0,0,0,0,1,0,0,0,0,0,0,1
0.09,0.27899999999999997,0,0.7240000000000001,0.08399999999999999,0.10900000000000001,859,0,1,0,0,0,1,0,0,0,0,1,0,0
