hora,temperatura,chuva,umidade,sol,vento,estação_outono,estação_primavera,estação_verão,dia_quarta,dia_quinta,dia_segunda,dia_sexta,dia_sábado,dia_terça,feriado_sim,visibilidade_Umidade de 0% a 30%,visibilidade_Umidade de 30% a 60%,visibilidade_Umidade de 60% a 95%
0.16,0.22399999999999998,0,0.6709999999999999,0.020999999999999998,0.205,0,1,0,0,0,0,0,1,0,0,0,0,1
0.12,0.376,0,0.498,0.25,0.265,0,0,1,0,0,0,0,0,0,0,0,0,0
0.09,0.20600000000000002,0,0.46,0.10700000000000001,0.457,0,1,0,1,0,0,0,0,0,0,0,0,1
0.11,0.217,0,0.8370000000000001,0.025,0.193,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02,0.318,0,0.603,0.0,0.301,0,1,0,0,0,0,0,0,1,0,0,0,1
0.16,0.41700000000000004,0,0.596,0.156,0.361,0,0,1,0,0,0,1,0,0,0,0,1,0
0.06,0.28300000000000003,0,0.664,0.0,0.08499999999999999,0,1,0,0,0,1,0,0,0,0,1,0,0
0.02,0.35700000000000004,0,0.5660000000000001,0.0,0.229,0,0,1,0,0,0,0,0,1,0,0,1,0
0.01,0.19699999999999998,0,0.513,0.0,0.133,0,0,0,0,0,0,0,0,1,0,0,1,0
0.07,0.28,0,0.649,0.003,0.205,1,0,0,0,0,0,1,0,0,0,0,0,0
0.11,0.24100000000000002,0,0.49,0.196,0.337,1,0,0,1,0,0,0,0,0,0,0,0,1
0.0,0.263,1,0.905,0.0,0.397,1,0,0,0,0,0,0,0,1,0,0,1,0
0.0,0.23399999999999999,1,0.845,0.0,0.325,0,1,0,0,1,0,0,0,0,0,0,0,0
0.05,0.155,0,0.777,0.0,0.16899999999999998,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1,0.303,0,0.513,0.199,0.181,1,0,0,0,0,0,0,0,1,1,0,0,0
0.09,0.32899999999999996,0,0.664,0.052000000000000005,0.217,1,0,0,0,1,0,0,0,0,0,0,0,0
0.22,0.35100000000000003,0,0.731,0.0,0.325,0,0,1,0,0,0,0,1,0,0,0,0,1
0.22,0.247,0,0.875,0.0,0.325,0,1,0,0,0,0,0,0,1,0,0,1,0
0.0,0.361,0,0.784,0.0,0.193,0,0,1,0,0,0,1,0,0,0,0,0,1
0.02,0.31,0,0.603,0.0,0.133,1,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.209,0,0.535,0.006,0.121,0,1,0,0,0,1,0,0,0,0,0,1,0
0.16,0.27899999999999997,0,0.626,0.072,0.457,1,0,0,0,0,0,0,0,1,0,0,1,0
0.22,0.157,0,0.573,0.0,0.16899999999999998,0,0,0,0,0,0,0,0,1,0,0,0,1
0.06,0.282,0,0.664,0.002,0.205,0,1,0,0,0,0,0,0,0,0,0,0,0
0.14,0.382,0,0.452,0.263,0.265,0,0,1,0,0,1,0,0,0,0,0,0,1
0.02,0.18100000000000002,0,0.513,0.0,0.229,0,0,0,0,0,0,1,0,0,0,0,0,1
0.17,0.401,0,0.43,0.118,0.325,0,0,1,0,0,0,0,0,0,0,0,0,0
0.17,0.389,0,0.573,0.149,0.301,0,0,1,0,0,0,0,0,1,0,0,0,1
0.21,0.146,0,0.392,0.0,0.517,0,0,0,0,0,0,0,0,1,0,0,0,0
0.21,0.245,0,0.588,0.0,0.157,1,0,0,0,1,0,0,0,0,0,0,0,0
0.09,0.185,1,0.912,0.0,0.385,1,0,0,0,0,0,0,1,0,0,1,0,0
0.01,0.159,0,0.445,0.0,0.265,0,0,0,0,0,0,1,0,0,1,0,0,1
0.06,0.107,0,0.483,0.0,0.301,0,0,0,1,0,0,0,0,0,0,0,0,0
0.11,0.215,0,0.747,0.054000000000000006,0.301,0,0,0,0,0,1,0,0,0,0,1,0,0
0.16,0.313,0,0.747,0.038,0.277,1,0,0,0,1,0,0,0,0,0,0,0,0
0.07,0.341,0,0.747,0.036,0.133,0,0,1,0,1,0,0,0,0,0,0,1,0
0.15,0.237,0,0.731,0.053000000000000005,0.217,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,0.255,1,0.89,0.0,0.337,0,1,0,0,0,1,0,0,0,0,1,0,0
0.07,0.213,0,0.8370000000000001,0.0,0.145,0,0,0,0,0,1,0,0,0,0,1,0,0
0.21,0.349,0,0.7240000000000001,0.0,0.193,0,0,1,0,1,0,0,0,0,0,0,0,1
0.02,0.335,0,0.6709999999999999,0.0,0.24100000000000002,0,0,1,0,1,0,0,0,0,0,0,0,0
0.09,0.251,0,0.633,0.10200000000000001,0.121,1,0,0,0,0,0,0,0,0,0,0,1,0
0.16,0.353,0,0.505,0.172,0.409,0,0,1,0,0,0,1,0,0,0,0,0,1
0.19,0.27899999999999997,0,0.46,0.01,0.397,0,1,0,0,0,1,0,0,0,0,0,0,1
0.02,0.32299999999999995,0,0.8370000000000001,0.0,0.24100000000000002,0,0,1,0,0,0,0,0,0,0,1,0,0
0.23,0.212,0,0.618,0.0,0.193,1,0,0,0,0,1,0,0,0,0,0,0,0
0.07,0.267,0,0.6940000000000001,0.022,0.157,0,1,0,0,0,0,0,1,0,0,1,0,0
0.16,0.218,0,0.33899999999999997,0.197,0.277,0,1,0,0,0,0,0,1,0,0,0,0,1
0.13,0.365,0,0.528,0.292,0.601,1,0,0,1,0,0,0,0,0,0,0,0,0
0.03,0.11800000000000001,0,0.505,0.0,0.361,0,0,0,0,0,1,0,0,0,0,0,0,0
0.22,0.387,0,0.664,0.0,0.16899999999999998,0,0,1,0,1,0,0,0,0,0,0,0,1
0.04,0.248,0,0.754,0.0,0.025,1,0,0,1,0,0,0,0,0,0,0,0,1
0.22,0.374,0,0.6859999999999999,0.0,0.145,0,0,1,1,0,0,0,0,0,1,0,0,0
0.06,0.358,0,0.664,0.001,0.193,0,0,1,0,0,1,0,0,0,0,0,0,0
0.2,0.317,0,0.799,0.0,0.073,1,0,0,0,0,0,1,0,0,0,0,0,0
0.08,0.252,0,0.762,0.037,0.10900000000000001,0,1,0,1,0,0,0,0,0,0,1,0,0
0.05,0.19,0,0.867,0.0,0.10900000000000001,0,0,0,0,0,0,1,0,0,0,1,0,0
0.09,0.332,0,0.83,0.041999999999999996,0.145,0,0,1,0,0,0,0,0,0,0,0,0,0
0.14,0.17600000000000002,0,0.392,0.0,0.025,0,0,0,0,0,0,1,0,0,0,0,0,0
0.06,0.295,0,0.7390000000000001,0.0,0.16899999999999998,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05,0.331,0,0.86,0.0,0.193,1,0,0,0,0,0,0,0,0,0,1,0,0
0.16,0.327,0,0.769,0.051000000000000004,0.16899999999999998,1,0,0,0,0,0,1,0,0,0,0,0,0
0.15,0.373,0,0.505,0.22799999999999998,0.397,0,1,0,0,0,1,0,0,0,0,0,1,0
0.06,0.365,0,0.8220000000000001,0.002,0.037,0,0,1,0,0,0,1,0,0,0,0,1,0
0.05,0.251,0,0.784,0.0,0.121,0,1,0,1,0,0,0,0,0,0,1,0,0
0.17,0.353,0,0.513,0.08399999999999999,0.16899999999999998,1,0,0,0,0,0,1,0,0,0,0,0,0
0.14,0.278,0,0.43,0.184,0.205,1,0,0,0,0,0,0,0,1,0,0,0,1
0.11,0.152,0,0.452,0.1,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.21899999999999997,0,0.731,0.0,0.121,0,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.298,0,0.701,0.0,0.097,1,0,0,0,0,0,0,0,0,1,0,0,0
0.19,0.297,0,0.5660000000000001,0.006,0.325,0,1,0,0,0,1,0,0,0,0,0,1,0
0.2,0.35100000000000003,0,0.716,0.0,0.457,1,0,0,0,0,0,0,1,0,0,0,0,0
0.16,0.223,0,0.43700000000000006,0.05500000000000001,0.373,1,0,0,0,1,0,0,0,0,0,0,0,0
0.12,0.326,0,0.483,0.253,0.193,1,0,0,0,0,0,0,1,0,1,0,0,0
0.14,0.20600000000000002,0,0.415,0.036,0.193,0,0,0,1,0,0,0,0,0,0,0,0,1
0.13,0.32299999999999995,0,0.513,0.266,0.589,0,1,0,1,0,0,0,0,0,0,0,0,1
0.04,0.264,0,0.784,0.0,0.16899999999999998,1,0,0,0,0,0,0,1,0,1,0,0,1
0.21,0.325,0,0.762,0.0,0.229,0,0,1,0,0,1,0,0,0,0,0,1,0
0.23,0.256,0,0.799,0.0,0.037,1,0,0,0,0,0,1,0,0,0,1,0,0
0.21,0.253,0,0.905,0.0,0.34900000000000003,0,1,0,0,1,0,0,0,0,0,1,0,0
0.14,0.165,0,0.392,0.065,0.10900000000000001,0,0,0,0,1,0,0,0,0,0,0,0,1
0.05,0.218,0,0.633,0.0,0.265,0,1,0,0,0,0,1,0,0,0,0,0,0
0.0,0.133,0,0.452,0.0,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,0.14400000000000002,0,0.588,0.0,0.121,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,0.33399999999999996,0,0.5660000000000001,0.006,0.181,0,0,1,0,0,0,1,0,0,0,0,0,0
0.17,0.111,0,0.42200000000000004,0.028000000000000004,0.505,0,0,0,0,1,0,0,0,0,0,0,0,0
0.21,0.214,0,0.513,0.0,0.157,1,0,0,1,0,0,0,0,0,0,0,0,1
0.15,0.23399999999999999,0,0.49,0.074,0.301,0,0,0,0,0,0,0,0,0,0,0,0,1
0.22,0.33899999999999997,1,0.92,0.0,0.061,0,0,1,1,0,0,0,0,0,0,1,0,0
0.23,0.267,0,0.626,0.0,0.121,1,0,0,0,1,0,0,0,0,0,0,0,1
0.17,0.41700000000000004,0,0.581,0.178,0.205,0,0,1,0,0,0,1,0,0,0,0,0,1
0.2,0.23399999999999999,0,0.626,0.0,0.10900000000000001,1,0,0,1,0,0,0,0,0,0,0,0,0
0.2,0.145,0,0.6859999999999999,0.0,0.337,0,0,0,0,0,0,1,0,0,0,0,0,0
0.12,0.311,0,0.415,0.24,0.08499999999999999,1,0,0,0,0,0,1,0,0,0,0,0,0
0.07,0.14400000000000002,0,0.611,0.0,0.397,0,0,0,0,0,0,0,1,0,0,0,0,1
0.08,0.342,0,0.679,0.074,0.133,0,0,1,0,0,1,0,0,0,0,0,1,0
0.12,0.18899999999999997,0,0.46,0.11200000000000002,0.205,0,0,0,0,0,0,1,0,0,0,0,0,1
0.15,0.382,0,0.36200000000000004,0.3,0.373,0,0,1,0,0,0,0,0,1,0,0,0,1
0.15,0.36700000000000005,0,0.46799999999999997,0.209,0.193,1,0,0,0,0,0,0,0,1,0,0,0,0
0.17,0.218,0,0.618,0.008,0.121,0,0,0,0,0,0,0,0,1,0,1,0,0
0.02,0.203,0,0.762,0.0,0.24100000000000002,1,0,0,0,0,0,0,1,0,0,0,1,0
0.21,0.253,1,0.89,0.0,0.361,0,1,0,0,0,1,0,0,0,0,0,0,1
0.09,0.18899999999999997,0,0.6559999999999999,0.007000000000000001,0.133,0,0,0,0,0,0,0,1,0,0,0,1,0
0.18,0.131,0,0.505,0.0,0.421,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11,0.257,0,0.528,0.197,0.337,1,0,0,0,0,1,0,0,0,0,0,0,1
0.19,0.23600000000000002,0,0.52,0.0,0.145,1,0,0,0,0,0,0,0,0,0,0,0,1
0.11,0.299,0,0.588,0.051000000000000004,0.133,0,1,0,0,0,0,0,0,0,0,0,0,1
0.07,0.312,0,0.6559999999999999,0.046,0.10900000000000001,0,0,1,1,0,0,0,0,0,1,0,1,0
0.16,0.35100000000000003,0,0.792,0.05,0.457,0,0,1,0,1,0,0,0,0,0,0,1,0
0.21,0.401,0,0.5660000000000001,0.0,0.361,0,0,1,0,0,0,0,0,1,0,0,0,0
0.08,0.109,0,0.6409999999999999,0.001,0.10900000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0
0.16,0.19899999999999998,0,0.867,0.007000000000000001,0.421,0,0,0,0,0,0,0,0,0,1,1,0,0
0.17,0.264,0,0.43700000000000006,0.081,0.325,0,1,0,0,0,0,0,1,0,0,0,1,0
0.15,0.217,0,0.302,0.142,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0.34700000000000003,1,0.845,0.0,0.265,0,0,1,0,0,0,1,0,0,0,0,0,1
0.18,0.19699999999999998,0,0.762,0.007000000000000001,0.181,0,1,0,1,0,0,0,0,0,0,0,0,0
0.1,0.171,0,0.40700000000000003,0.159,0.277,0,1,0,0,0,0,0,1,0,0,0,0,1
0.09,0.319,1,0.905,0.006,0.157,0,0,1,0,0,0,0,0,1,0,1,0,0
0.08,0.375,0,0.7090000000000001,0.052000000000000005,0.445,0,0,1,1,0,0,0,0,0,0,0,0,1
0.2,0.201,0,0.385,0.0,0.16899999999999998,1,0,0,0,0,0,1,0,0,0,0,0,0
0.23,0.319,1,0.905,0.0,0.097,0,0,1,0,0,0,1,0,0,0,0,1,0
0.03,0.237,0,0.716,0.0,0.133,0,1,0,0,0,0,0,0,1,0,1,0,0
0.21,0.184,0,0.6859999999999999,0.0,0.325,0,0,0,0,0,0,1,0,0,1,0,0,1
0.03,0.19399999999999998,1,0.912,0.0,0.301,0,1,0,1,0,0,0,0,0,1,1,0,0
0.21,0.215,0,0.792,0.0,0.145,1,0,0,0,0,0,0,0,0,0,1,0,0
0.12,0.363,0,0.6940000000000001,0.12,0.157,0,0,1,0,0,1,0,0,0,0,0,0,1
0.17,0.405,0,0.603,0.10300000000000001,0.28900000000000003,0,0,1,1,0,0,0,0,0,0,0,0,1
0.04,0.305,0,0.8140000000000001,0.0,0.133,0,1,0,1,0,0,0,0,0,0,1,0,0
0.13,0.32899999999999996,0,0.43700000000000006,0.277,0.637,0,1,0,0,1,0,0,0,0,0,0,0,1
0.02,0.13699999999999998,0,0.498,0.0,0.217,0,0,0,0,0,0,1,0,0,0,0,0,0
0.01,0.223,0,0.6709999999999999,0.0,0.145,0,1,0,0,0,0,0,0,1,0,1,0,0
0.15,0.331,0,0.633,0.034,0.181,0,0,1,0,0,0,0,0,1,0,0,0,1
0.13,0.183,0,0.40700000000000003,0.11699999999999999,0.673,0,0,0,1,0,0,0,0,0,0,0,0,1
0.18,0.217,0,0.43700000000000006,0.009,0.301,0,0,0,1,0,0,0,0,0,0,0,0,1
0.01,0.205,0,0.7240000000000001,0.0,0.253,0,0,0,0,1,0,0,0,0,0,1,0,0
0.02,0.225,0,0.852,0.0,0.28900000000000003,0,1,0,0,1,0,0,0,0,0,0,0,1
0.02,0.20800000000000002,0,0.799,0.0,0.217,0,0,0,0,0,0,0,1,0,0,1,0,0
0.13,0.322,0,0.354,0.318,0.229,0,1,0,1,0,0,0,0,0,0,0,0,1
0.11,0.34700000000000003,0,0.581,0.16699999999999998,0.193,0,0,1,0,0,0,0,0,1,0,0,0,1
0.23,0.37,0,0.762,0.0,0.253,0,0,1,1,0,0,0,0,0,0,0,0,1
0.11,0.325,1,0.912,0.015,0.16899999999999998,0,0,1,0,0,0,0,0,0,0,1,0,0
0.11,0.275,0,0.6559999999999999,0.132,0.28900000000000003,1,0,0,0,1,0,0,0,0,0,1,0,0
0.2,0.306,0,0.626,0.004,0.337,0,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.273,0,0.762,0.0,0.205,0,1,0,0,1,0,0,0,0,0,1,0,0
0.13,0.107,0,0.385,0.126,0.493,0,0,0,0,1,0,0,0,0,0,0,0,0
0.11,0.318,0,0.6559999999999999,0.125,0.361,1,0,0,0,0,0,0,0,0,0,0,1,0
0.23,0.381,0,0.754,0.0,0.16899999999999998,0,0,1,0,0,0,1,0,0,0,0,1,0
0.19,0.324,0,0.513,0.040999999999999995,0.337,0,1,0,0,1,0,0,0,0,0,0,0,1
0.01,0.243,0,0.52,0.0,0.277,0,1,0,1,0,0,0,0,0,0,0,0,1
0.2,0.26899999999999996,0,0.603,0.0,0.265,0,1,0,1,0,0,0,0,0,0,0,0,0
0.07,0.18899999999999997,0,0.49,0.0,0.097,1,0,0,0,1,0,0,0,0,0,0,0,1
0.23,0.17300000000000001,0,0.777,0.0,0.097,0,0,0,0,1,0,0,0,0,0,0,1,0
0.04,0.22899999999999998,0,0.7090000000000001,0.0,0.205,1,0,0,1,0,0,0,0,0,0,0,0,1
0.17,0.363,0,0.633,0.077,0.361,0,0,1,0,0,0,0,1,0,0,0,0,0
0.02,0.35200000000000004,0,0.769,0.0,0.145,0,0,1,0,0,0,0,0,1,0,0,0,0
0.2,0.27699999999999997,0,0.528,0.001,0.433,0,1,0,0,1,0,0,0,0,0,0,0,1
0.06,0.147,0,0.36200000000000004,0.0,0.08499999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0
0.02,0.35100000000000003,0,0.799,0.0,0.073,0,0,1,1,0,0,0,0,0,0,0,1,0
0.1,0.175,0,0.42200000000000004,0.124,0.205,0,0,0,0,0,0,1,0,0,1,0,0,1
0.23,0.292,1,0.867,0.0,0.24100000000000002,1,0,0,0,1,0,0,0,0,0,0,0,1
0.11,0.13699999999999998,0,0.392,0.156,0.421,0,0,0,0,0,1,0,0,0,0,0,0,1
0.14,0.35600000000000004,0,0.505,0.29700000000000004,0.34900000000000003,0,1,0,0,1,0,0,0,0,0,0,0,1
0.06,0.365,0,0.679,0.0,0.133,0,0,1,0,0,0,0,1,0,0,0,0,0
0.05,0.149,0,0.596,0.0,0.205,0,0,0,0,0,0,0,0,1,0,0,0,1
0.07,0.218,0,0.769,0.0,0.061,1,0,0,1,0,0,0,0,0,0,0,1,0
0.23,0.321,0,0.6559999999999999,0.0,0.121,0,1,0,0,0,0,0,1,0,0,0,1,0
0.09,0.309,0,0.626,0.19,0.217,0,1,0,0,1,0,0,0,0,0,0,1,0
0.2,0.359,0,0.581,0.0,0.145,0,1,0,0,0,0,0,0,1,0,0,1,0
0.13,0.35200000000000004,0,0.5429999999999999,0.34199999999999997,0.24100000000000002,0,0,1,0,0,0,1,0,0,0,0,0,1
0.04,0.19399999999999998,0,0.6559999999999999,0.0,0.061,1,0,0,0,0,0,0,0,1,0,0,0,0
0.2,0.139,0,0.46,0.0,0.433,0,0,0,0,0,0,0,1,0,0,0,0,0
0.16,0.38299999999999995,0,0.43700000000000006,0.246,0.409,0,0,1,0,0,0,0,1,0,0,0,0,1
0.06,0.34700000000000003,1,0.912,0.0,0.037,0,0,1,1,0,0,0,0,0,0,1,0,0
0.19,0.299,0,0.777,0.003,0.301,0,1,0,0,1,0,0,0,0,0,1,0,0
0.14,0.20800000000000002,0,0.475,0.219,0.481,0,0,0,0,0,0,0,0,1,0,0,0,1
0.15,0.171,0,0.309,0.093,0.625,0,0,0,0,0,0,0,0,1,0,0,0,0
0.15,0.16899999999999998,0,0.40700000000000003,0.22200000000000003,0.493,0,0,0,0,0,0,0,0,0,0,0,0,1
0.11,0.33799999999999997,0,0.573,0.153,0.193,0,0,1,0,0,0,0,0,1,0,0,0,0
0.06,0.237,0,0.845,0.0,0.133,1,0,0,1,0,0,0,0,0,0,0,1,0
0.01,0.33899999999999997,0,0.535,0.0,0.277,0,0,1,0,0,0,1,0,0,0,0,0,0
0.15,0.34600000000000003,0,0.8370000000000001,0.144,0.205,0,0,1,0,0,1,0,0,0,0,0,1,0
